trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
153,False,"{'a': 0.4892899999999978, 'e': 0.9263529142888074}",35,13,-121.47144653127927,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 2}",1
154,False,"{'a': 0.48921999999999777, 'e': 0.9258898536064806}",20,0,-70.83707500033893,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
155,False,"{'a': 0.48914999999999775, 'e': 0.925427024396622}",30,0,-98.42103178891276,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
156,False,"{'a': 0.48907999999999774, 'e': 0.9249644265435243}",25,0,-104.60443528911189,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
157,False,"{'a': 0.4890099999999977, 'e': 0.9245020599315381}",25,0,-47.69641667335321,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
158,False,"{'a': 0.4889399999999977, 'e': 0.9240399244450717}",20,0,-91.50299577506168,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
159,False,"{'a': 0.4888699999999977, 'e': 0.9235780199685912}",20,0,-50.400756065478646,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
160,False,"{'a': 0.4887999999999977, 'e': 0.9231163463866204}",30,16,-57.40181787575318,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
161,False,"{'a': 0.48872999999999767, 'e': 0.9226549035837412}",25,0,-95.51658803866069,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
162,False,"{'a': 0.48865999999999765, 'e': 0.9221936914445926}",20,0,-167.979660004063,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
163,False,"{'a': 0.48858999999999764, 'e': 0.9217327098538717}",20,0,-105.44510163959357,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
164,False,"{'a': 0.4885199999999976, 'e': 0.921271958696333}",25,0,-96.77670834944023,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
